concept_A,concept_B,n_people
Disorder of tympanic membrane,Malignant neoplasm of abdomen,1
Disorder of tympanic membrane,Malignant neoplasm of connective and soft tissue of abdomen,1
Disorder of tympanic membrane,Malignant neoplasm of connective and soft tissue of pelvis,1
Disorder of tympanic membrane,Malignant neoplasm of connective and soft tissue of thorax,1
Disorder of tympanic membrane,Malignant neoplastic disease,1
Disorder of tympanic membrane,Mediastinal emphysema,1
Disorder of tympanic membrane,Pericardial effusion - noninflammatory,1
Disorder of tympanic membrane,Peritonitis,1
Disorder of tympanic membrane,Persistent pain following procedure,1
Disorder of tympanic membrane,Pleural effusion,1
Disorder of tympanic membrane,Pleural effusion due to malignant neoplastic disease,1
Disorder of tympanic membrane,Pleurisy,1
Disorder of tympanic membrane,Pleuritic pain,1
Disorder of tympanic membrane,Pneumonia,1
Disorder of tympanic membrane,Pneumothorax,1
Disorder of tympanic membrane,Poisoning by drug AND/OR medicinal substance,1
Disorder of tympanic membrane,Neoplastic disease,1
Disorder of tympanic membrane,Neuralgia,1
Disorder of tympanic membrane,Neurogenic bladder,1
Disorder of tympanic membrane,Neutropenia,1
Disorder of tympanic membrane,Neutropenia associated with infectious disease,1
Disorder of tympanic membrane,Neutropenia due to and following chemotherapy,1
Disorder of tympanic membrane,Primary malignant neoplasm of pelvic bone,1
Disorder of tympanic membrane,Primary malignant neoplasm of pelvis,1
Disorder of tympanic membrane,Primary malignant neoplasm of retroperitoneum,1
Disorder of tympanic membrane,Primary malignant neoplasm of skin,1
Disorder of tympanic membrane,Primary malignant neoplasm of soft tissues,1
Disorder of tympanic membrane,Primary malignant neoplasm of the peritoneum,1
Disorder of tympanic membrane,Primary malignant neoplasm of trunk,1
Disorder of tympanic membrane,Primary thrombocytopenia,1
Disorder of tympanic membrane,Puerperal pyrexia of unknown origin,1
Disorder of tympanic membrane,Pulmonary embolism,1
Disorder of tympanic membrane,Pain due to internal prosthetic device,1
Disorder of tympanic membrane,Pain due to neoplastic disease,1
Disorder of tympanic membrane,Pain in thoracic spine,1
Disorder of tympanic membrane,Pancytopenia due to antineoplastic chemotherapy,1
Disorder of tympanic membrane,Paralytic ileus,1
Disorder of tympanic membrane,Paresthesia,1
Disorder of tympanic membrane,Secondary hypertension,1
Disorder of tympanic membrane,Secondary malignant neoplasm of bone,1
Disorder of tympanic membrane,Secondary malignant neoplasm of brain,1
Disorder of tympanic membrane,Secondary malignant neoplasm of cerebral meninges,1
Disorder of tympanic membrane,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Disorder of tympanic membrane,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Disorder of tympanic membrane,Secondary malignant neoplasm of intrathoracic lymph nodes,1
Disorder of tympanic membrane,Secondary malignant neoplasm of left lung,1
Disorder of tympanic membrane,Secondary malignant neoplasm of lung,1
Disorder of tympanic membrane,Secondary malignant neoplasm of lymph node,1
Disorder of tympanic membrane,Postgastric surgery syndrome,1
Disorder of tympanic membrane,Postoperative state,1
Disorder of tympanic membrane,Primary focal hyperhidrosis,1
Disorder of tympanic membrane,Primary malignant neoplasm,1
Disorder of tympanic membrane,Primary malignant neoplasm of bone,1
Disorder of tympanic membrane,Primary malignant neoplasm of brain,1
Disorder of tympanic membrane,Secondary malignant neoplasm of unknown site,1
Disorder of tympanic membrane,Secondary malignant neoplastic disease,1
Disorder of tympanic membrane,Secondary thrombocytopenia,1
Disorder of tympanic membrane,Sepsis,1
Disorder of tympanic membrane,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Disorder of tympanic membrane,Shoulder joint pain,1
Disorder of tympanic membrane,Sleep disorder,1
Disorder of tympanic membrane,Solitary nodule of lung,1
Disorder of tympanic membrane,Spinal cord compression,1
Disorder of tympanic membrane,Spinal stenosis of lumbar region,1
Disorder of tympanic membrane,Pyonephrosis,1
Disorder of tympanic membrane,Radiation-induced disorder,1
Disorder of tympanic membrane,Reduced mobility,1
Disorder of tympanic membrane,Retention of urine,1
Disorder of tympanic membrane,Right lower quadrant pain,1
Disorder of tympanic membrane,Right upper quadrant pain,1
Disorder of tympanic membrane,Upper abdominal pain,1
Disorder of tympanic membrane,Urge incontinence of urine,1
Disorder of tympanic membrane,Urgent desire to urinate,1
Disorder of tympanic membrane,Verruca plantaris,1
Disorder of tympanic membrane,Visual disturbance,1
Disorder of tympanic membrane,Vomiting,1
Disorder of urinary tract,Disorder of vein of lower extremity,1
Disorder of urinary tract,Dizziness and giddiness,1
Disorder of urinary tract,Drug-induced constipation,1
Disorder of urinary tract,Drug-induced hyperpyrexia,1
Disorder of tympanic membrane,Secondary malignant neoplasm of lymph nodes of multiple sites,1
Disorder of tympanic membrane,Secondary malignant neoplasm of lymph nodes of upper limb,1
Disorder of tympanic membrane,Secondary malignant neoplasm of nervous system,1
Disorder of tympanic membrane,Secondary malignant neoplasm of pleura,1
Disorder of tympanic membrane,Secondary malignant neoplasm of right lung,1
Disorder of tympanic membrane,Secondary malignant neoplasm of skin,1
Disorder of urinary tract,Embolism from thrombosis of vein of lower extremity,1
Disorder of urinary tract,Epigastric pain,1
Disorder of urinary tract,Erectile dysfunction,1
Disorder of urinary tract,Eruption,1
Disorder of urinary tract,Essential hypertension,1
Disorder of urinary tract,Essential thrombocythemia,1
Disorder of urinary tract,"Ewing sarcoma of connective, Subcutaneous and other soft tissues, NOS",1
Disorder of urinary tract,Exocrine pancreatic insufficiency,1
Disorder of urinary tract,Fatigue,1
Disorder of urinary tract,Fever,1
Disorder of tympanic membrane,Spinal stenosis of thoracic region,1
Disorder of tympanic membrane,Stool finding,1
Disorder of tympanic membrane,Tachycardia,1
Disorder of tympanic membrane,Tachypnea,1
Disorder of tympanic membrane,Testicular hypofunction,1
Disorder of tympanic membrane,Tremor,1
Disorder of urinary tract,Generalized abdominal pain,1
Disorder of urinary tract,Generalized enlarged lymph nodes,1
Disorder of urinary tract,Hair follicle disorder,1
Disorder of urinary tract,Hemorrhage of rectum and anus,1
Disorder of urinary tract,Hiccoughs,1
Disorder of urinary tract,Hydronephrosis,1
Disorder of urinary tract,Hydroureter,1
Disorder of urinary tract,Hyperpituitarism,1
Disorder of urinary tract,Hyperprolactinemia,1
Disorder of urinary tract,Hypervolemia,1
Disorder of urinary tract,Dyspnea,1
Disorder of urinary tract,Dysuria,1
Disorder of urinary tract,Edema,1
Disorder of urinary tract,Electrocardiogram abnormal,1
Disorder of urinary tract,Elevated level of transaminase and lactic acid dehydrogenase,1
Disorder of urinary tract,Embolism from thrombosis of vein of distal lower extremity,1
Disorder of urinary tract,Immunodeficiency disorder,1
Disorder of urinary tract,Impacted cerumen,1
Disorder of urinary tract,Incomplete emptying of bladder,1
Disorder of urinary tract,Inflammatory dermatosis,1
Disorder of urinary tract,Inflammatory disorder of digestive tract,1
Disorder of urinary tract,Injury of bladder,1
Disorder of urinary tract,Intestinal adhesions with obstruction,1
Disorder of urinary tract,Intestinal obstruction,1
Disorder of urinary tract,"Intra-abdominal and pelvic swelling, mass and lump",1
Disorder of urinary tract,Iron deficiency anemia,1
Disorder of urinary tract,Finding of frequency of urination,1
Disorder of urinary tract,Finding related to pregnancy,1
Disorder of urinary tract,Finding relating to psychosocial functioning,1
Disorder of urinary tract,Functional disorder of intestine,1
Disorder of urinary tract,Gastroesophageal reflux disease without esophagitis,1
Disorder of urinary tract,Gastrointestinal hemorrhage,1
Disorder of urinary tract,Loss of appetite,1
Disorder of urinary tract,Low blood pressure,1
Disorder of urinary tract,Lower abdominal pain,1
Disorder of urinary tract,Lymphedema,1
Disorder of urinary tract,Malaise,1
Disorder of urinary tract,Malignant ascites,1
Disorder of urinary tract,Malignant melanoma of skin,1
Disorder of urinary tract,Malignant neoplasm of abdomen,1
Disorder of urinary tract,Malignant neoplasm of connective and soft tissue of abdomen,1
Disorder of urinary tract,Malignant neoplasm of connective and soft tissue of pelvis,1
Disorder of urinary tract,Hypo-osmolality and or hyponatremia,1
Disorder of urinary tract,Hypocalcemia,1
Disorder of urinary tract,Hypomagnesemia,1
Disorder of urinary tract,Hypothyroidism,1
Disorder of urinary tract,Hypoxemia,1
Disorder of urinary tract,Illness,1
Disorder of urinary tract,Muscle weakness,1
Disorder of urinary tract,Myopia,1
Disorder of urinary tract,Nausea,1
Disorder of urinary tract,Nausea and vomiting,1
Disorder of urinary tract,Neonatal candidiasis,1
Disorder of urinary tract,Neoplasm of uncertain behavior of skin,1
Disorder of urinary tract,Neoplasm of uncertain behavior of soft tissues,1
Disorder of urinary tract,Neoplastic disease,1
Disorder of urinary tract,Neuralgia,1
Disorder of urinary tract,Neurogenic bladder,1
Disorder of urinary tract,Jaw pain,1
Disorder of urinary tract,Left lower quadrant pain,1
Disorder of urinary tract,Localized edema,1
Disorder of urinary tract,Localized enlarged lymph nodes,1
Disorder of urinary tract,"Localized swelling, mass and lump, lower limb",1
Disorder of urinary tract,Long QT syndrome,1
Disorder of urinary tract,Non-infectious systemic inflammatory response syndrome without acute organ failure,1
Disorder of urinary tract,Nonulcer dyspepsia,1
Disorder of urinary tract,Open wound of trunk,1
Disorder of urinary tract,Overactive bladder,1
Disorder of urinary tract,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Disorder of urinary tract,Overlapping malignant neoplasm of soft tissues,1
Disorder of urinary tract,Pain,1
Disorder of urinary tract,Pain due to internal prosthetic device,1
Disorder of urinary tract,Pain due to neoplastic disease,1
Disorder of urinary tract,Pain in thoracic spine,1
Disorder of urinary tract,Malignant neoplasm of connective and soft tissue of thorax,1
Disorder of urinary tract,Malignant neoplastic disease,1
Disorder of urinary tract,Mediastinal emphysema,1
Disorder of urinary tract,Melena,1
Disorder of urinary tract,Mild protein-calorie malnutrition (weight for age 75-89 percent of standard),1
Disorder of urinary tract,Moderate protein-calorie malnutrition (weight for age 60-74 percent of standard),1
Disorder of urinary tract,Pleural effusion,1
Disorder of urinary tract,Pleural effusion due to malignant neoplastic disease,1
Disorder of urinary tract,Pleurisy,1
Disorder of urinary tract,Pleuritic pain,1
Disorder of urinary tract,Pneumonia,1
Disorder of urinary tract,Pneumothorax,1
Disorder of urinary tract,Poisoning by drug AND/OR medicinal substance,1
Disorder of urinary tract,Postgastric surgery syndrome,1
Disorder of urinary tract,Postoperative state,1
Disorder of urinary tract,Primary focal hyperhidrosis,1
Disorder of urinary tract,Neutropenia,1
Disorder of urinary tract,Neutropenia associated with infectious disease,1
Disorder of urinary tract,Neutropenia due to and following chemotherapy,1
Disorder of urinary tract,Nocturia,1
Disorder of urinary tract,Nocturnal enuresis,1
Disorder of urinary tract,Non-infectious disorder of lymphatics,1
Disorder of urinary tract,Primary malignant neoplasm of skin,1
Disorder of urinary tract,Primary malignant neoplasm of soft tissues,1
Disorder of urinary tract,Primary malignant neoplasm of the peritoneum,1
Disorder of urinary tract,Primary malignant neoplasm of trunk,1
Disorder of urinary tract,Primary thrombocytopenia,1
Disorder of urinary tract,Puerperal pyrexia of unknown origin,1
Disorder of urinary tract,Pulmonary embolism,1
Disorder of urinary tract,Pyonephrosis,1
Disorder of urinary tract,Radiation-induced disorder,1
Disorder of urinary tract,Reduced mobility,1
Disorder of urinary tract,Pancytopenia due to antineoplastic chemotherapy,1
Disorder of urinary tract,Paralytic ileus,1
Disorder of urinary tract,Paresthesia,1
Disorder of urinary tract,Pericardial effusion - noninflammatory,1
Disorder of urinary tract,Peritonitis,1
Disorder of urinary tract,Persistent pain following procedure,1
Disorder of urinary tract,Secondary malignant neoplasm of cerebral meninges,1
Disorder of urinary tract,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Disorder of urinary tract,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Disorder of urinary tract,Secondary malignant neoplasm of intrathoracic lymph nodes,1
Disorder of urinary tract,Secondary malignant neoplasm of left lung,1
Disorder of urinary tract,Secondary malignant neoplasm of lung,1
Disorder of urinary tract,Secondary malignant neoplasm of lymph node,1
Disorder of urinary tract,Secondary malignant neoplasm of lymph nodes of multiple sites,1
Disorder of urinary tract,Secondary malignant neoplasm of lymph nodes of upper limb,1
Disorder of urinary tract,Secondary malignant neoplasm of nervous system,1
Disorder of urinary tract,Primary malignant neoplasm,1
Disorder of urinary tract,Primary malignant neoplasm of bone,1
Disorder of urinary tract,Primary malignant neoplasm of brain,1
Disorder of urinary tract,Primary malignant neoplasm of pelvic bone,1
Disorder of urinary tract,Primary malignant neoplasm of pelvis,1
Disorder of urinary tract,Primary malignant neoplasm of retroperitoneum,1
Disorder of urinary tract,Sepsis,1
Disorder of urinary tract,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Disorder of urinary tract,Shoulder joint pain,1
Disorder of urinary tract,Sleep disorder,1
Disorder of urinary tract,Solitary nodule of lung,1
Disorder of urinary tract,Spinal cord compression,1
Disorder of urinary tract,Spinal stenosis of lumbar region,1
Disorder of urinary tract,Spinal stenosis of thoracic region,1
Disorder of urinary tract,Stool finding,1
Disorder of urinary tract,Tachycardia,1
Disorder of urinary tract,Retention of urine,1
Disorder of urinary tract,Right lower quadrant pain,1
Disorder of urinary tract,Right upper quadrant pain,1
Disorder of urinary tract,Secondary hypertension,1
Disorder of urinary tract,Secondary malignant neoplasm of bone,1
Disorder of urinary tract,Secondary malignant neoplasm of brain,1
Disorder of urinary tract,Urgent desire to urinate,1
Disorder of urinary tract,Verruca plantaris,1
Disorder of urinary tract,Visual disturbance,1
Disorder of urinary tract,Vomiting,1
Disorder of vein of lower extremity,Dizziness and giddiness,1
Disorder of vein of lower extremity,Drug-induced constipation,1
Disorder of vein of lower extremity,Drug-induced hyperpyrexia,1
Disorder of vein of lower extremity,Dysuria,1
Disorder of vein of lower extremity,Edema,1
Disorder of vein of lower extremity,Electrocardiogram abnormal,1
Disorder of urinary tract,Secondary malignant neoplasm of pleura,1
Disorder of urinary tract,Secondary malignant neoplasm of right lung,1
Disorder of urinary tract,Secondary malignant neoplasm of skin,1
Disorder of urinary tract,Secondary malignant neoplasm of unknown site,1
Disorder of urinary tract,Secondary malignant neoplastic disease,1
Disorder of urinary tract,Secondary thrombocytopenia,1
Adjustment disorder,Radiation-induced disorder,1
Adjustment disorder,Reduced mobility,1
Adjustment disorder,Right lower quadrant pain,1
Adjustment disorder,Secondary malignant neoplasm of bone,1
Adjustment disorder,Secondary malignant neoplasm of brain,1
Adjustment disorder,Secondary malignant neoplasm of cerebral meninges,1
Disorder of vein of lower extremity,Fever,1
Disorder of vein of lower extremity,Finding of frequency of urination,1
Disorder of vein of lower extremity,Finding related to pregnancy,1
Disorder of vein of lower extremity,Finding relating to psychosocial functioning,1
Disorder of vein of lower extremity,Functional disorder of intestine,1
Disorder of urinary tract,Tachypnea,1
Disorder of urinary tract,Testicular hypofunction,1
Disorder of urinary tract,Tremor,1
Disorder of urinary tract,Upper abdominal pain,1
Disorder of urinary tract,Urge incontinence of urine,1
Disorder of vein of lower extremity,Elevated level of transaminase and lactic acid dehydrogenase,1
Disorder of vein of lower extremity,Embolism from thrombosis of vein of distal lower extremity,1
Disorder of vein of lower extremity,Epigastric pain,1
Disorder of vein of lower extremity,Erectile dysfunction,1
Disorder of vein of lower extremity,Eruption,1
Disorder of vein of lower extremity,Essential hypertension,1
Disorder of vein of lower extremity,Essential thrombocythemia,1
Disorder of vein of lower extremity,"Ewing sarcoma of connective, Subcutaneous and other soft tissues, NOS",1
Disorder of vein of lower extremity,Exocrine pancreatic insufficiency,1
Disorder of vein of lower extremity,Fatigue,1
Adjustment disorder,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Adjustment disorder,Sleep disorder,1
Adjustment disorder,Solitary nodule of lung,1
Adjustment disorder,Spinal cord compression,1
Adjustment disorder,Pulmonary embolism,1
Adjustment disorder,Pyonephrosis,1
Disorder of vein of lower extremity,Localized edema,1
Disorder of vein of lower extremity,Localized enlarged lymph nodes,1
Disorder of vein of lower extremity,Gastroesophageal reflux disease without esophagitis,1
Disorder of vein of lower extremity,Gastrointestinal hemorrhage,1
Disorder of vein of lower extremity,Generalized enlarged lymph nodes,1
Disorder of vein of lower extremity,Hair follicle disorder,1
Disorder of vein of lower extremity,Hemorrhage of rectum and anus,1
Disorder of vein of lower extremity,Hiccoughs,1
Disorder of vein of lower extremity,Hydronephrosis,1
Disorder of vein of lower extremity,Hydroureter,1
Disorder of vein of lower extremity,Hyperpituitarism,1
Disorder of vein of lower extremity,Hyperprolactinemia,1
Disorder of vein of lower extremity,Hypervolemia,1
Disorder of vein of lower extremity,Hypocalcemia,1
Disorder of vein of lower extremity,Hypomagnesemia,1
Disorder of vein of lower extremity,Hypothyroidism,1
Disorder of vein of lower extremity,Malignant neoplasm of connective and soft tissue of abdomen,1
Disorder of vein of lower extremity,Malignant neoplasm of connective and soft tissue of pelvis,1
Disorder of vein of lower extremity,Malignant neoplasm of connective and soft tissue of thorax,1
Disorder of vein of lower extremity,Mediastinal emphysema,1
Disorder of vein of lower extremity,Melena,1
Disorder of vein of lower extremity,Hypoxemia,1
Disorder of vein of lower extremity,Impacted cerumen,1
Disorder of vein of lower extremity,Incomplete emptying of bladder,1
Disorder of vein of lower extremity,Inflammatory dermatosis,1
Disorder of vein of lower extremity,Inflammatory disorder of digestive tract,1
Disorder of vein of lower extremity,Injury of bladder,1
Disorder of vein of lower extremity,Intestinal adhesions with obstruction,1
Disorder of vein of lower extremity,Intestinal obstruction,1
Disorder of vein of lower extremity,Iron deficiency anemia,1
Disorder of vein of lower extremity,Jaw pain,1
Disorder of vein of lower extremity,Left lower quadrant pain,1
Disorder of vein of lower extremity,Neuralgia,1
Disorder of vein of lower extremity,Neurogenic bladder,1
Disorder of vein of lower extremity,Neutropenia,1
Disorder of vein of lower extremity,Neutropenia associated with infectious disease,1
Disorder of vein of lower extremity,Neutropenia due to and following chemotherapy,1
Disorder of vein of lower extremity,Nocturia,1
Disorder of vein of lower extremity,"Localized swelling, mass and lump, lower limb",1
Disorder of vein of lower extremity,Long QT syndrome,1
Disorder of vein of lower extremity,Loss of appetite,1
Disorder of vein of lower extremity,Low blood pressure,1
Disorder of vein of lower extremity,Lower abdominal pain,1
Disorder of vein of lower extremity,Lymphedema,1
Disorder of vein of lower extremity,Malaise,1
Disorder of vein of lower extremity,Malignant ascites,1
Disorder of vein of lower extremity,Malignant melanoma of skin,1
Disorder of vein of lower extremity,Malignant neoplasm of abdomen,1
Disorder of vein of lower extremity,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Disorder of vein of lower extremity,Overlapping malignant neoplasm of soft tissues,1
Disorder of vein of lower extremity,Pain due to internal prosthetic device,1
Disorder of vein of lower extremity,Pain in thoracic spine,1
Disorder of vein of lower extremity,Pancytopenia due to antineoplastic chemotherapy,1
Disorder of vein of lower extremity,Paralytic ileus,1
Disorder of vein of lower extremity,Paresthesia,1
Disorder of vein of lower extremity,Pericardial effusion - noninflammatory,1
Disorder of vein of lower extremity,Mild protein-calorie malnutrition (weight for age 75-89 percent of standard),1
Disorder of vein of lower extremity,Moderate protein-calorie malnutrition (weight for age 60-74 percent of standard),1
Disorder of vein of lower extremity,Muscle weakness,1
Disorder of vein of lower extremity,Myopia,1
Disorder of vein of lower extremity,Neonatal candidiasis,1
Disorder of vein of lower extremity,Neoplasm of uncertain behavior of skin,1
Disorder of vein of lower extremity,Neoplasm of uncertain behavior of soft tissues,1
Disorder of vein of lower extremity,Neoplastic disease,1
Adjustment disorder,Primary malignant neoplasm of brain,1
Adjustment disorder,Primary malignant neoplasm of pelvic bone,1
Adjustment disorder,Primary malignant neoplasm of pelvis,1
Adjustment disorder,Primary malignant neoplasm of retroperitoneum,1
Adjustment disorder,Primary malignant neoplasm of skin,1
Disorder of vein of lower extremity,Primary focal hyperhidrosis,1
Disorder of vein of lower extremity,Primary malignant neoplasm,1
Disorder of vein of lower extremity,Primary malignant neoplasm of bone,1
Disorder of vein of lower extremity,Primary malignant neoplasm of brain,1
Disorder of vein of lower extremity,Primary malignant neoplasm of pelvic bone,1
Disorder of vein of lower extremity,Nocturnal enuresis,1
Disorder of vein of lower extremity,Non-infectious disorder of lymphatics,1
Disorder of vein of lower extremity,Non-infectious systemic inflammatory response syndrome without acute organ failure,1
Disorder of vein of lower extremity,Nonulcer dyspepsia,1
Disorder of vein of lower extremity,Open wound of trunk,1
Disorder of vein of lower extremity,Overactive bladder,1
Disorder of vein of lower extremity,Persistent pain following procedure,1
Disorder of vein of lower extremity,Pleuritic pain,1
Disorder of vein of lower extremity,Pneumonia,1
Disorder of vein of lower extremity,Poisoning by drug AND/OR medicinal substance,1
Disorder of vein of lower extremity,Postgastric surgery syndrome,1
Disorder of vein of lower extremity,Postoperative state,1
Adjustment disorder,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Adjustment disorder,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Adjustment disorder,Secondary malignant neoplasm of intrathoracic lymph nodes,1
Adjustment disorder,Secondary malignant neoplasm of left lung,1
Adjustment disorder,Secondary malignant neoplasm of lung,1
Adjustment disorder,Postgastric surgery syndrome,1
Adjustment disorder,Postoperative state,1
Adjustment disorder,Primary focal hyperhidrosis,1
Adjustment disorder,Primary malignant neoplasm,1
Adjustment disorder,Primary malignant neoplasm of bone,1
Disorder of vein of lower extremity,Secondary malignant neoplasm of unknown site,1
Disorder of vein of lower extremity,Primary malignant neoplasm of pelvis,1
Disorder of vein of lower extremity,Primary malignant neoplasm of retroperitoneum,1
Disorder of vein of lower extremity,Primary malignant neoplasm of skin,1
Disorder of vein of lower extremity,Primary malignant neoplasm of soft tissues,1
Disorder of vein of lower extremity,Primary malignant neoplasm of the peritoneum,1
Disorder of vein of lower extremity,Primary malignant neoplasm of trunk,1
Disorder of vein of lower extremity,Primary thrombocytopenia,1
Disorder of vein of lower extremity,Puerperal pyrexia of unknown origin,1
Disorder of vein of lower extremity,Pyonephrosis,1
Disorder of vein of lower extremity,Radiation-induced disorder,1
Disorder of vein of lower extremity,Reduced mobility,1
Disorder of vein of lower extremity,Retention of urine,1
Disorder of vein of lower extremity,Right lower quadrant pain,1
Disorder of vein of lower extremity,Secondary hypertension,1
Disorder of vein of lower extremity,Peritonitis,1
Disorder of vein of lower extremity,Spinal stenosis of lumbar region,1
Disorder of vein of lower extremity,Spinal stenosis of thoracic region,1
Disorder of vein of lower extremity,Stool finding,1
Disorder of vein of lower extremity,Tachypnea,1
Disorder of vein of lower extremity,Testicular hypofunction,1
Disorder of vein of lower extremity,Tremor,1
Disorder of vein of lower extremity,Upper abdominal pain,1
Disorder of vein of lower extremity,Secondary malignant neoplasm of bone,1
Disorder of vein of lower extremity,Secondary malignant neoplasm of brain,1
Disorder of vein of lower extremity,Secondary malignant neoplasm of cerebral meninges,1
Disorder of vein of lower extremity,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Disorder of vein of lower extremity,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Disorder of vein of lower extremity,Secondary malignant neoplasm of lymph node,1
Disorder of vein of lower extremity,Secondary malignant neoplasm of lymph nodes of upper limb,1
Disorder of vein of lower extremity,Secondary malignant neoplasm of nervous system,1
Disorder of vein of lower extremity,Secondary malignant neoplasm of skin,1
Dizziness and giddiness,Drug-induced hyperpyrexia,1
Dizziness and giddiness,Dysuria,1
Dizziness and giddiness,Edema,1
Dizziness and giddiness,Elevated level of transaminase and lactic acid dehydrogenase,1
Dizziness and giddiness,Embolism from thrombosis of vein of distal lower extremity,1
Dizziness and giddiness,Embolism from thrombosis of vein of lower extremity,1
Dizziness and giddiness,Epigastric pain,1
Dizziness and giddiness,Erectile dysfunction,1
Disorder of vein of lower extremity,Secondary malignant neoplastic disease,1
Disorder of vein of lower extremity,Secondary thrombocytopenia,1
Disorder of vein of lower extremity,Sepsis,1
Disorder of vein of lower extremity,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Disorder of vein of lower extremity,Shoulder joint pain,1
Disorder of vein of lower extremity,Sleep disorder,1
Disorder of vein of lower extremity,Solitary nodule of lung,1
Disorder of vein of lower extremity,Spinal cord compression,1
Adjustment disorder,Pain due to internal prosthetic device,1
Adjustment disorder,Pain in thoracic spine,1
Adjustment disorder,Pancytopenia due to antineoplastic chemotherapy,1
Adjustment disorder,Paralytic ileus,1
Adjustment disorder,Paresthesia,1
Adjustment disorder,Pericardial effusion - noninflammatory,1
Adjustment disorder,Peritonitis,1
Adjustment disorder,Persistent pain following procedure,1
Dizziness and giddiness,Gastrointestinal hemorrhage,1
Dizziness and giddiness,Generalized abdominal pain,1
Dizziness and giddiness,Generalized enlarged lymph nodes,1
Disorder of vein of lower extremity,Urge incontinence of urine,1
Disorder of vein of lower extremity,Urgent desire to urinate,1
Disorder of vein of lower extremity,Verruca plantaris,1
Disorder of vein of lower extremity,Visual disturbance,1
Disorder of vein of lower extremity,Vomiting,1
Dizziness and giddiness,Immunodeficiency disorder,1
Dizziness and giddiness,Impacted cerumen,1
Dizziness and giddiness,Incomplete emptying of bladder,1
Dizziness and giddiness,Eruption,1
Dizziness and giddiness,Essential thrombocythemia,1
Dizziness and giddiness,"Ewing sarcoma of connective, Subcutaneous and other soft tissues, NOS",1
Dizziness and giddiness,Exocrine pancreatic insufficiency,1
Dizziness and giddiness,Finding of frequency of urination,1
Dizziness and giddiness,Finding related to pregnancy,1
Dizziness and giddiness,Functional disorder of intestine,1
Adjustment disorder,Primary malignant neoplasm of soft tissues,1
Adjustment disorder,Primary malignant neoplasm of the peritoneum,1
Adjustment disorder,Primary malignant neoplasm of trunk,1
Adjustment disorder,Primary thrombocytopenia,1
Adjustment disorder,Puerperal pyrexia of unknown origin,1
Adjustment disorder,Pain,1
Dizziness and giddiness,"Localized swelling, mass and lump, lower limb",1
Dizziness and giddiness,Long QT syndrome,1
Dizziness and giddiness,Loss of appetite,1
Dizziness and giddiness,Low blood pressure,1
Dizziness and giddiness,Lower abdominal pain,1
Dizziness and giddiness,Hemorrhage of rectum and anus,1
Dizziness and giddiness,Hiccoughs,1
Dizziness and giddiness,Hydronephrosis,1
Dizziness and giddiness,Hydroureter,1
Dizziness and giddiness,Hyperpituitarism,1
Dizziness and giddiness,Hyperprolactinemia,1
Dizziness and giddiness,Hypervolemia,1
Dizziness and giddiness,Hypocalcemia,1
Dizziness and giddiness,Hypomagnesemia,1
Dizziness and giddiness,Hypothyroidism,1
Dizziness and giddiness,Hypoxemia,1
Dizziness and giddiness,Malignant neoplasm of connective and soft tissue of thorax,1
Dizziness and giddiness,Malignant neoplastic disease,1
Dizziness and giddiness,Mediastinal emphysema,1
Dizziness and giddiness,Melena,1
Dizziness and giddiness,Muscle weakness,1
Dizziness and giddiness,Myopia,1
Dizziness and giddiness,Nausea,1
Dizziness and giddiness,Inflammatory dermatosis,1
Dizziness and giddiness,Injury of bladder,1
Dizziness and giddiness,Intestinal adhesions with obstruction,1
Dizziness and giddiness,Intestinal obstruction,1
Dizziness and giddiness,Iron deficiency anemia,1
Dizziness and giddiness,Jaw pain,1
Dizziness and giddiness,Left lower quadrant pain,1
Dizziness and giddiness,Localized edema,1
Dizziness and giddiness,Localized enlarged lymph nodes,1
Adjustment disorder,Neutropenia associated with infectious disease,1
Adjustment disorder,Neutropenia due to and following chemotherapy,1
Adjustment disorder,Nocturia,1
Adjustment disorder,Nocturnal enuresis,1
Adjustment disorder,Non-infectious disorder of lymphatics,1
Adjustment disorder,Non-infectious systemic inflammatory response syndrome without acute organ failure,1
Dizziness and giddiness,Nocturnal enuresis,1
Dizziness and giddiness,Non-infectious disorder of lymphatics,1
Dizziness and giddiness,Nonulcer dyspepsia,1
Dizziness and giddiness,Open wound of trunk,1
Dizziness and giddiness,Lymphedema,1
Dizziness and giddiness,Malignant ascites,1
Dizziness and giddiness,Malignant melanoma of skin,1
Dizziness and giddiness,Malignant neoplasm of abdomen,1
